#aspect_ratio,spindle_length/(Rad*2),Rad,RadS,spindle_length,
1.0,0.344,128.24675,125.00000,44.17321,
2.0,0.301,178.57143,90.90909,53.72045,
3.8,0.288,243.50649,64.93506,70.13052,
3.3,0.290,212.66234,65.25974,61.60195,
1.5,0.366,147.72727,95.77922,54.11688,
2.7,0.265,198.05195,74.67532,52.54334,
1.4,0.318,125.00000,90.90909,39.79058,
2.6,0.266,180.19481,69.80519,47.96575,
1.6,0.279,144.48052,87.66234,40.37127,
3.3,0.312,222.40260,68.18182,69.43701,
3.1,0.276,201.29870,64.93506,55.52045,
3.2,0.268,175.32468,55.19481,46.97581,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,